,agent_firm_name,case_status,class_of_admission,country_of_citizenship,employer_city,employer_decl_info_title,employer_name,employer_num_employees,employer_state,foreign_worker_info_education,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_state,pw_level_9089,pw_soc_title,wage_offer_from_9089
4000,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.",Certified,H-1B,DENMARK,NEW YORK,"CFO, Corporate Secretary and Treasurer",SQUARESPACE INC,168.0,NEW YORK,Bachelor's,UNIVERSITY OF ABERTAY DUNDEE,COMPUTER SCIENCE,NEW YORK,4,"Software Developers, Applications",165000.0
4001,"Berry, Appleman & Leiden, LLP",Certified,H-1B,CHINA,MOUNTAIN VIEW,Global Immigration Program Manager,GOOGLE INC.,53861.0,CALIFORNIA,Master's,UNIVERSITY OF OKLAHOMA,ELECTRICAL AND COMPUTER ENGINEERING,CALIFORNIA,2,"Software Developers, Applications",107000.0
4002,"Nemecek Firm, Ltd.",Certified,H-1B,INDIA,COLUMBUS,Resource Manager,"AXIA CONSULTING, LLC",56.0,OHIO,Master's,UNIVERSITY OF MADRAS,COMPUTER APPLICATIONS,OHIO,4,"Software Developers, Applications",94141.0
4003,Law Offices Of Susheela Verma,Certified,H-1B,INDIA,LIVINGSTON,President,EXELUS INC,13.0,NEW JERSEY,Master's,UNIVERSITY OF VIRGINIA,CHEMICAL ENGINEERING,NEW JERSEY,3,Chemical Engineers,98571.0
4004,"Klasko, Rulon, Stock & Seltzer, LLP",Certified,H-1B,INDIA,PHILADELPHIA,Human Resources Administrator,"COMCAST CABLE COMMUNICATIONS, LLC",129000.0,PENNSYLVANIA,Master's,THE UNIVERSITY OF TEXAS PAN AMERICAN,ENGINEERING (ELECTRICAL CONCENTRATION),COLORADO,4,Database Administrators,99902.0
4005,"Law Office of Yong Il Jeong, P.C.",Certified,H-1B,SOUTH KOREA,NEW YORK,President/Chief Operating Officer,"HASKELL JEWELS, LLC.",210.0,NEW YORK,Associate's,FASHION INSTITUTE OF TECHNOLOGY STATE UNIVERSITY OF NEW YORK,JEWELRY DESIGN,NEW YORK,1,Commercial and Industrial Designers,45760.0
4006,Dinsmore & Shohl LLP,Certified,H-1B,CHINA,NORWOOD,Corporate Immigration Manager,ANALOG DEVICES INC.,3200.0,MASSACHUSETTS,Master's,KTH ROYAL INSTITUTE OF TECHNOLOGY,ELECTRICAL ENGINEERING,MASSACHUSETTS,2,"Electronics Engineers, Except Computer",92102.0
4007,,Certified,H-1B,INDIA,FREMONT,president,DGN TECHNOLOGIES INC.,150.0,CALIFORNIA,Master's,KURUKSHETRA UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,4,"Software Developers, Applications",89502.0
4008,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,CHINA,ATLANTA,Chairman and Chief Executive Officer,"RAVELLO SOLUTIONS, LLC",17.0,GEORGIA,Master's,GEORGIA STATE UNIVERSITY,COMPUTER SCIENCE,GEORGIA,3,"Software Developers, Applications",87000.0
4009,The Law Offices of Weicheng Wang,Certified,H-1B,INDIA,NEW YORK,Operations Manager,MITCHELL/MARTIN INC,500.0,NEW YORK,Master's,UNIVERSITY OF PITTSBURGH,INFORMATION SCIENCES,MASSACHUSETTS,3,"Software Developers, Applications",124800.0
4010,"Dehai Tao, P.C.",Certified,H-1B,INDIA,SOUTHFIELD,President,"KPK TECHNOLOGIES, INC.",54.0,MICHIGAN,Master's,"IT UNIVERSITY OF COPENHAGEN, DENMARK",INFORMATION TECHNOLOGY,TEXAS,3,"Software Developers, Applications",91070.0
4011,"Klasko, Rulon, Stock & Seltzer, LLP",Certified,H-1B,INDIA,PHILADELPHIA,Human Resources Administrator,"COMCAST CABLE COMMUNICATIONS, LLC",129000.0,PENNSYLVANIA,Master's,GUJARAT UNIVERSITY,COMPUTER APPLICATIONS,NEW JERSEY,0,Computer and Information Systems Managers,97400.0
4012,"Zulkie Partners, LLC.",Certified,H-1B,INDIA,CHICAGO,Payroll Manager,CAPGEMINI U.S. LLC,9000.0,ILLINOIS,Bachelor's,NAGPUR UNIVERSITY,ELECTRONICS ENGINEERING,CALIFORNIA,4,"Software Developers, Applications",115434.0
4013,"Corbin, Schaffer & Aviles",Certified,H-1B,INDIA,COLUMBIA,HR Project Manager,MERKLE INC.,1283.0,MARYLAND,Bachelor's,SARDAR PATEL UNIVERSITY,COMPUTER SCIENCE,MARYLAND,2,Computer and Information Systems Managers,105600.0
4014,"Fragomen, Del Rey, Bernsen, & Loewy LLP",Certified,H-1B,INDIA,OVERLAND PARK,"Director, Human Resources",SEARLES VALLEY MINERALS,700.0,KANSAS,Bachelor's,HEMCHANDRACHARYA NORTH GUJARAT UNIVERSITY,MECHANICAL ENGINEERING,CALIFORNIA,4,Chemical Engineers,92373.0
4015,"Wilde and Associates, LLC",Certified,H-1B,THAILAND,JESSUP,Vice President of HR,EASTLAND FOOD CORPORATION,120.0,MARYLAND,Master's,STRAYER UNIVERSITY,MASTER OF BUSINESS ADMINISTRATION,MARYLAND,1,Market Research Analysts and Marketing Specialists*,41413.0
4016,McKenna Long & Aldridge LLP,Certified,H-1B,INDIA,ATLANTA,"Director, Human Resources","YELLOWJACKET, INC.",38.0,GEORGIA,Master's,COLUMBIA UNIVERSITY,COMPUTER SCIENCE,NEW YORK,3,"Software Developers, Applications",104458.0
4017,"Malik & Popiel, P.C.",Certified,H-1B,INDIA,ALPHARETTA,Office Manager,"JIREH SOLUTIONS, LLC",26.0,GEORGIA,Bachelor's,MAHATMA GANDHI UNIVERSITY,TECHNOLOGY/ELECTRONICS AND COMMUNICATION,MARYLAND,3,"Software Developers, Applications",86258.0
4018,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,NEW YORK,Human Resources Manager,"AMERICAN INTERNATIONAL GROUP, INC.",63000.0,NEW YORK,Master's,UNIVERSITAT OSNABRUECK,INFORMATION SYSTEMS ENGINEERING,NEW JERSEY,3,"Software Developers, Applications",110000.0
4019,"Alan C. Chen, P.C.",Denied,H-1B,INDIA,RICHARDSON,President,"CNET GLOBAL SOLUTIONS, INC",94.0,TEXAS,Master's,CLEVELAND STATE UNIVERSITY,ELECTRICAL ENGINEERING,WASHINGTON,2,"Software Developers, Applications",86278.0
4020,Law Offices of Andrew L. Fair,Certified,H-1B,CHINA,JERSEY CITY,HR Generalist,"INSURANCE SERVICES OFFICE, INC",1400.0,NEW JERSEY,Master's,NEW JERSEY INSTITUTE OF TECHNOLOGY,INFORMATION SYSTEMS,NEW JERSEY,1,Database Administrators,58000.0
4021,Berry Appleman & Leiden LLP,Certified,H-1B,CANADA,MOUNTAIN VIEW,Global Immigration Program Manager,GOOGLE INC.,53861.0,CALIFORNIA,Other,UNIVERSITY OF WATERLOO,MATHEMATICS AND COMPUTER SCIENCE,CALIFORNIA,4,"Software Developers, Applications",167200.0
4022,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,COLUMBUS,"Immigration Specialist, Global Mobility Services",CUMMINS INC.,39800.0,INDIANA,Master's,THE UNIVERSITY OF TENNESSEE,BUSINESS ANALYTICS,TENNESSEE,2,Logisticians,72200.0
4023,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,FORT LAUDERDALE,Senior Immigration Specialist,"CITRIX SYSTEMS, INC.",5600.0,FLORIDA,Bachelor's,"VISVESWARAIAH TECHNOLOGICAL UNIVERSITY, BELGAUM",MECHANICAL ENGINEERING,FLORIDA,4,Computer Systems Analysts,96500.0
4024,"Zhang & Attorneys, LP",Denied,H-1B,CHINA,EL SEGUNDO,HR Manager,FUHU INC.,140.0,CALIFORNIA,Master's,POLYTECHNIC INSTITUTE OF NEW YORK UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,2,"Software Developers, Applications",78374.0
4025,,Certified,H-1B,INDIA,FREMONT,president,DGN TECHNOLOGIES INC.,150.0,CALIFORNIA,Master's,CSM INSTITUTE OF GRADUATE STUDIES,BUSINESS ADMINISTRATION,CALIFORNIA,4,"Software Developers, Applications",126048.0
4026,Garganigo Goldsmith & Weiss,Certified,H-1B,SOUTH KOREA,JERICHO,"Vice President, Administration","KINTETSU WORLD EXPRESS (U.S.A.), INC.",535.0,NEW YORK,Bachelor's,MEDGAR EVERS COLLEGE,BUSINESS,MICHIGAN,4,General and Operations Managers,146016.0
4027,"Law Office of Jeff Goldman, LLP",Certified,H-1B,CHINA,WOBURN,President,"ACT MERCHANT SERVICES, INC.",14.0,MASSACHUSETTS,Doctorate,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,COMPUTER ENGINEERING,MASSACHUSETTS,2,"Software Developers, Systems Software",110000.0
4028,"Kidambi & Associates, P.C.",Certified,H-1B,INDIA,VANCOUVER,President,CYBERNET SOLUTIONS INC.,2.0,WASHINGTON,Master's,ANNAMALAI UNIVERSITY,COMPUTER SCIENCE,OREGON,1,"Software Developers, Applications",64355.0
4029,Zulkie Partners LLC,Certified,H-1B,MEXICO,DEERFIELD,Human Resource Generalist - GBS,JIM BEAM BRANDS COMPANY,1646.0,ILLINOIS,Bachelor's,UNIVERSIDAD AUTONOMA DE MEXICO (UNAM),MECHANICAL-ELECTRICAL ENGINEERING,ILLINOIS,4,Computer Systems Analysts,113294.0
4030,"Federico B. Serrano, P.C.",Certified,H-1B,NEPAL,FAIRFAX,Human Resources Specialist,VIRGINIA INTERNATIONAL UNIVERSITY,74.0,VIRGINIA,Master's,VIRGINIA INTERNATIONAL UNIVERSITY,INFORMATION SYSTEMS,VIRGINIA,2,Network and Computer Systems Administrators*,62650.0
4031,Law Offices of Zheng Li,Certified,H-1B,THAILAND,CITY OF INDUSTRY,Human Resource Director,"UNICAL AVIATION, INC.",329.0,CALIFORNIA,Bachelor's,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",AEROSPACE ENGINEERING,CALIFORNIA,1,Industrial Production Managers,58157.0
4032,"Law Offices of Hwang & Weiss, P.C.",Certified,H-1B,TAIWAN,ARCADIA,Vice President,TRANSPACIFIC FINANCIAL INC.,30.0,CALIFORNIA,Master's,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",BUSINESS ADMINISTRATION,CALIFORNIA,2,Financial Analysts,81806.0
4033,Berry Appleman & Leiden LLP,Certified,H-1B,CHINA,MENLO PARK,Global Tax & Immigration Manager,"FACEBOOK, INC.",5080.0,CALIFORNIA,Bachelor's,TSINGHUA UNIVERSITY,COMPUTER ENGINEERING,CALIFORNIA,1,"Software Developers, Applications",97858.0
4034,Littler Mendelson P.C.,Certified,H-1B,CANADA,HERNDON,"Director, Human Resources",APPTIX,157.0,VIRGINIA,Bachelor's,UNIVERSITY OF BOMBAY (NOW CALLED UNIVERSITY OF MUMBAI),COMPUTER ENGINEERING,VIRGINIA,4,"Software Developers, Applications",122890.0
4035,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,MEXICO,ATLANTA,National Leader of Human Resources,GOLDER ASSOCIATES INC.,1200.0,GEORGIA,Master's,UNESCO-IHE INSTITUTE OF WATER EDUCATION,OCEAN ENGINEERING,WASHINGTON,2,Civil Engineers,73500.0
4036,Whiteman Osterman & Hanna,Denied,H-1B,UKRAINE,CLIFTON PARK,Director of Human Resources,"FIND YOUR DREAMS, INC.",0.0,NEW YORK,Bachelor's,KHARKIV NATIONAL UNIVERSITY,PHILOLOGY,NEW YORK,4,Marketing Managers,160139.0
4037,Law Offices of Stanley Chao,Certified,H-1B,TAIWAN,LA VERNE,President,"TIGERTECH MEDIA, INC.",26.0,CALIFORNIA,Master's,NORTHWESTERN POLYTECHNIC UNIVERSITY,BUSINESS ADMINISTRATION,CALIFORNIA,2,Management Analysts,73278.0
4038,"Zhang & Yan, P.C.",Certified,H-1B,INDIA,FREMONT,President,"DEW SOFTWARE, INC.",54.0,CALIFORNIA,Bachelor's,UNIVERSITY OF MADRAS,ELECTRONICS ENGINEERING,TEXAS,2,"Software Developers, Applications",89502.0
4039,Law Offices of Kevin M. Wilhelmi,Certified,H-1B,INDIA,CHANDLER,President & CEO,"INTRAEDGE, INC",246.0,ARIZONA,Bachelor's,UNIVERSITY OF SOUTH ALABAMA,SCIENCE IN ELECTRICAL ENGINEERING,ARIZONA,2,"Software Developers, Applications",73403.0
4040,"Fragomen, Del Rey, Bernsen and Loewy, LLP",Certified,H-1B,INDIA,MCLEAN,"Manager, Global Mobility and Immigration","CAPITAL ONE SERVICES, LLC",39000.0,VIRGINIA,Master's,CARNEGIE MELLON UNIVERSITY,INFORMATION SYSTEMS MANAGEMENT (REL TO OPERATIONS RESEARCH & ENGINEERING),TEXAS,1,Operations Research Analysts,95000.0
4041,"Maney & Gordon, P.A.",Certified,H-1B,INDIA,EDISON,President,MURTHY CONSULTANCY SERVICES,21.0,NEW JERSEY,Master's,UNIVERSITY OF BRIDGEPORT,TECHNOLOGY MANAGEMENT,IOWA,2,Computer Systems Analysts,76794.0
4042,"Dyer Immigration Law Group, P.C.",Certified,H-1B,INDIA,NORTH BRUNSWICK,President,IT TRAILBLAZERS LLC,120.0,NEW JERSEY,Bachelor's,BAPUJI INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING,NEW JERSEY,3,Computer Programmers,84323.0
4043,Jackson Lewis LLP,Certified,H-1B,PAKISTAN,COLUMBIA,"Vice President, Medical Affairs","HH MEDSTAR HEALTH, INC.",28000.0,MARYLAND,Other,UNIVERSITY OF PESHAWAR PAKISTAN,MEDICINE,MARYLAND,2,"Internists, General",180000.0
4044,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,BENTONVILLE,Assistant General Counsel,"WAL-MART ASSOCIATES, INC.",1400000.0,ARKANSAS,Master's,UNIVERSITY OF MARYLAND BALTIMORE COUNTY,COMPUTER SCIENCE,CALIFORNIA,3,"Software Developers, Applications",112674.0
4045,"Zhang & Attorneys, LP",Certified,H-1B,CHINA,PORT ALLEN,Administrator,RIVER HEALTHCARE INC.,50.0,LOUISIANA,Master's,LOUISIANA STATE UNIVERSITY,BUSINESS ADMINISTRATION,NEW YORK,1,Financial Managers,61464.0
4046,"Constangy, Brooks & Smith, LLP",Certified,H-1B,INDIA,HIGH POINT,Vice President & General Counsel,"NEW BREED, INC.",6700.0,NORTH CAROLINA,Bachelor's,KAKATIYA UNIVERSITY,COMPUTER SCIENCE,NORTH CAROLINA,2,"Software Developers, Applications",75000.0
4047,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,SUWANEE,Sr. HR Manager,"ARRIS SOLUTIONS, INC.",6512.0,GEORGIA,Master's,UNIVERSITY OF PENNSYLVANIA,TELECOMMUNICATION AND NETWORKING,PENNSYLVANIA,2,"Software Developers, Applications",82455.0
4048,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,ATLANTA,"VP, HR and Administration",REVENUE ANALYTICS,53.0,GEORGIA,Master's,TEXAS A&M UNIVERSITY,COMPUTER SCIENCE,GEORGIA,4,"Software Developers, Applications",102315.0
4049,"Klasko, Rulon, Stock & Seltzer, LLP",Certified,H-1B,INDIA,BALA CYNWYD,Human Resources Associate,"SUSQUEHANNA INTERNATIONAL GROUP, LLP",1500.0,PENNSYLVANIA,Master's,STATE UNIVERSITY OF NEW YORK AT BUFFALO,COMPUTER SCIENCE & ENGINEERING,PENNSYLVANIA,4,"Software Developers, Applications",106500.0
4050,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,DALLAS,Immigration Manager,TEXAS INSTRUMENTS INCORPORATED,28400.0,TEXAS,Bachelor's,"INDIAN INSTITUTE OF TECHNOLOGY, ROORKEE",COMPUTER ENGINEERING,TEXAS,4,"Electronics Engineers, Except Computer",115856.0
4051,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,PAKISTAN,SAN JOSE,Immigration Specialist - HR,"QUALCOMM ATHEROS, INC.",26600.0,CALIFORNIA,Bachelor's,"CALIFORNIA STATE UNIVERSITY, CHICO",COMPUTER ENGINEERING,CALIFORNIA,2,"Electronics Engineers, Except Computer",108014.4
4052,Li Immigration Law PLLC,Certified,H-1B,CHINA,SEATTLE,HR Service Center Specialist,GROUPHEALTH COOPERATIVE,9135.0,WASHINGTON,Master's,UNIVERSITY OF ILLINOIS,PUBLIC HEALTH,WASHINGTON,2,"Software Developers, Applications, R&D (ACWIA Only)",68682.0
4053,"Kempster, Keller & Lenz-Calvo, Ltd.",Certified,H-1B,INDIA,SCHAUMBURG,CEO,CYBERBRIDGE INTL. INC.,38.0,ILLINOIS,Master's,CLEVELAND STATE UNIVERSITY,ELECTRICAL ENGINEERING,TEXAS,3,Electrical Engineers,89253.0
4054,,Certified,H-1B,INDIA,FREMONT,president,DGN TECHNOLOGIES INC.,150.0,CALIFORNIA,Bachelor's,VISVESWARAIAH TECHNOLOGICAL UNIVERSITY,ENGINEERING,CALIFORNIA,4,"Software Developers, Applications",126048.0
4055,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,BENTONVILLE,Assistant General Counsel,"WAL-MART ASSOCIATES, INC.",1400000.0,ARKANSAS,Master's,OSMANIA UNIVERSITY,COMPUTER INFORMATION SYSTEMS,CALIFORNIA,2,"Software Developers, Applications",107100.0
4056,Zulkie Partners LLC,Certified,H-1B,INDIA,IRVING,Payroll Manager,"CAPGEMINI AMERICA, INC.",9000.0,TEXAS,Bachelor's,UNIVERSITY OF MUMBAI,INFORMATION TECHNOLOGY AND ENGINEERING,MICHIGAN,1,"Software Developers, Applications",73086.0
4057,The Chugh Firm,Certified,H-1B,INDIA,GLENDALE,Controller,"SYSTECH SOLUTIONS, INC.",30.0,CALIFORNIA,Master's,UNIVERSITY OF SOUTHERN CALIFORNIA,ELECTRICAL ENGINEERING,CALIFORNIA,2,"Software Developers, Applications",80000.0
4058,Clement & Hurst PLC,Certified,H-1B,INDIA,UNIONDALE,President,NEW YORK GLOBAL CONSULTANTS CORPORATION,31.0,NEW YORK,Master's,ANNA UNIVERSITY,COMPUTER APPLICATIONS,CALIFORNIA,4,"Software Developers, Applications",114941.0
4059,Armstrong Teasdale LLP,Certified,H-1B,INDIA,ST. LOUIS,Senior Recruiter,AMEREN SERVICES,9800.0,MISSOURI,Master's,UNIVERSITY OF MISSOURI-ROLLA,ELECTRICAL ENGINEERING,MISSOURI,1,Architectural and Engineering Managers,72800.0
4060,"Epstein Becker & Green, P.C.",Denied,H-1B,CHINA,SANTA CLARA,Immigration Program Manager,MARVELL SEMICONDUCTOR INC,2000.0,CALIFORNIA,Master's,XIDIAN UNIVERSITY,"INFORMATION AND COMMUNICATION ENGINEERING (INFO. SYS, ENGINEERING)",CALIFORNIA,2,"Software Developers, Systems Software",109200.0
4061,Greenberg Traurig,Certified,H-1B,INDIA,ATLANTA,"Global Mobility Manager, SCRP, SGMS","COCA-COLA REFRESHMENTS USA, INC.",71000.0,GEORGIA,Bachelor's,KAKATIYA UNIVERSITY,BUSINESS ADMINISTRATION,GEORGIA,4,Computer Systems Analysts,91687.0
4062,Sidley Austin LLP,Certified,H-1B,SERBIA,CHICAGO,Human Resources,"A.T. KEARNEY, INC.",775.0,ILLINOIS,Master's,UNIVERSITY OF MICHIGAN,BUSINESS ADMINISTRATION,NEW YORK,4,Management Analysts,150000.0
4063,"Glinsmann & Glinsmann, Chartered",Certified,H-1B,INDIA,ROCKVILLE,VP of Contracts & Corporate Counsel,"CLIENT NETWORK SERVICES, INC.",633.0,MARYLAND,Master's,UNIVERSITY OF MASSACHUSETTS DARTMOUTH,COMPUTER SCIENCE,MARYLAND,3,"Software Developers, Applications",102294.0
4064,"Alan C. Chen, P.C.",Certified,H-1B,INDIA,PLANO,President,"SVTRONICS, INC.",119.0,TEXAS,Bachelor's,N. MAHARASHTRA UNIVERSITY,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,TEXAS,2,"Electronics Engineers, Except Computer",81661.0
4065,Berry Appleman & Leiden LLP,Certified,H-1B,CHINA,MOUNTAIN VIEW,Global Immigration Program Manager,GOOGLE INC.,53861.0,CALIFORNIA,Master's,UNIVERSITY OF SOUTHERN CALIFORNIA,COMPUTER SCIENCE,CALIFORNIA,2,"Software Developers, Systems Software",160560.0
4066,Law Offices of Jim Kahng,Certified,H-1B,SOUTH KOREA,GARDENA,President,"MIDAS CONVENTION SERVICE, INC.",22.0,CALIFORNIA,Master's,SAVANNAH COLLEGE OF ART AND DESIGN,INTERIOR DESIGN (MFA),CALIFORNIA,2,Set and Exhibit Designers,51126.0
4067,Rosales Del Rosario PC,Certified,H-1B,PHILIPPINES,BROOKLYN,President,TLH CONSTRUCTION CORP,19.0,NEW YORK,Bachelor's,MAPUA INSTITUTE OF TECHNOLOGY,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,NEW YORK,4,Construction and Building Inspectors,76000.0
4068,"Klasko, Rulon, Stock & Seltzer, LLP",Certified,H-1B,CHINA,BALA CYNWYD,Human Resources Associate,"SUSQUEHANNA INTERNATIONAL GROUP, LLP",1500.0,PENNSYLVANIA,Master's,UNIVERSITY OF MISSOURI,COMPUTER SCIENCE,PENNSYLVANIA,4,"Software Developers, Applications",106500.0
4069,"Constangy, Brooks & Smith, LLP",Certified,H-1B,INDIA,HIGH POINT,Vice President & General Counsel,"NEW BREED, INC.",6700.0,NORTH CAROLINA,Bachelor's,MALAVLYA NATIONAL INSTITUTE OF TECHNOLOGY,ENGINEERING,NORTH CAROLINA,2,Logisticians,92000.0
4070,Law Offices of Dakshini R. Sen P.C.,Certified,H-1B,INDIA,RIDGEFIELD,Director of Engineering,86 HARRIET AVE CORP DBA GENERAL DEVICES,15.0,NEW JERSEY,Master's,NEW JERSEY INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE,NEW JERSEY,2,"Software Developers, Applications",89378.0
4071,"Serotte Reich Wilson, LLP",Certified,H-1B,INDIA,BILLERICA,Director of Human Resources,BRUKER BIOSPIN CORP,140.0,MASSACHUSETTS,Bachelor's,SYMBIOSIS CENTRE FOR INFORMATION TECHNOLOGY,INFORMATION TECHNOLOGY,MASSACHUSETTS,4,Computer Systems Analysts,116542.0
4072,"Fragomen, Del Rey, Bernsen & Lowey, LLP",Certified,H-1B,INDIA,DALLAS,Lead Foreign National Account Manager,"AT&T, INC., AND ALL OF ITS SUBSIDIARIES AND AFFILIATES",241810.0,TEXAS,Bachelor's,SRI VENKATASWARA COLLEGE OF ENGINEERING,COMPUTER ENGINEERING,CALIFORNIA,0,"Software Developers, Systems Software",112725.0
4073,HAMMOND LAW GROUP LLC,Certified,H-1B,CHINA,SUNNYVALE,HR Global Programs Manager,TRIMBLE NAVIGATION LIMITED,6561.0,CALIFORNIA,Master's,TEXAS A&M UNIVERSITY,GEOGRAPHY,COLORADO,2,"Software Developers, Applications",76107.0
4074,Chirayilparambu Law Group P.C.,Certified,H-1B,INDIA,HAUPPAUGE,President & CEO,"INVAGEN PHARMACEUTICALS, INC",377.0,NEW YORK,Master's,NAGARJUNA UNIVERSITY,SCIENCE / BIOCHEMISTRY,NEW YORK,1,Chemists,52000.0
4075,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,CHICAGO,Executive Director & Assistant General Counsel,JP MORGAN CHASE & CO,239000.0,ILLINOIS,Master's,UNIVERSITY OF MARYLAND EASTERN SHORE,APPLIED COMPUTER SCIENCE,DELAWARE,3,"Software Developers, Applications",95826.0
4076,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Denied,H-1B,CANADA,NEW YORK,HEAD OF HUMAN RESOURCES,"COATUE MANAGEMENT, LLC",60.0,NEW YORK,Bachelor's,UNIVERSITY OF WESTERN ONTARIO,BUSINESS ADMINSITRATION,NEW YORK,4,Financial Analysts,150000.0
4077,Halpern Immigration Law,Certified,H-1B,INDIA,WILMINGTON,HR Advisor,"PHARMACEUTICAL PRODUCT DEVELOPMENT, LLC",1400.0,NORTH CAROLINA,Bachelor's,OSMANIA UNIVERSITY,SCIENCE,NORTH CAROLINA,1,Database Administrators,60216.0
4078,"Fragomen, Del Rey, Bersen & Loewy, LLP",Certified,H-1B,INDIA,COLUMBUS,Global Mobility Director,CUMMINS INC.,39800.0,INDIANA,Master's,UNIVERSITY OF MINNESOTA,ELECTRICAL ENGINEERING,INDIANA,2,"Electronics Engineers, Except Computer",75691.0
4079,"Goldstein & Lee, P.C.",Certified,H-1B,INDIA,NEW YORK,VICE PRESIDENT - HUMAN RESOURCES GROUP,"THE BANK OF TOKYO-MITSUBISHI UFJ, LTD.",2112.0,NEW YORK,Master's,THE GANDHIGRAM RURAL UNIVERSITY,COMPUTER INFORMATION SYSTEMS,NEW JERSEY,4,"Software Developers, Applications",125000.0
4080,Law Offices of Marcine A. Seid,Certified,H-1B,CHINA,SANTA CLARA,President & CEO,"CASPIO, INC.",30.0,CALIFORNIA,Master's,OKLAHOMA STATE UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,2,Computer Systems Analysts,83637.0
4081,Law Offices of Amarnath Gowda,Certified,H-1B,INDIA,FARMINGTON HILLS,President,"TRINITY CONSULTING, INC",42.0,MICHIGAN,Bachelor's,MADURAI KAMARAJ UNIVERSITY,ELECTRONICS AND COMMUNICATION ENGINEERING,NEW YORK,4,"Software Developers, Systems Software",97469.0
4082,Ramineni Law Associates,Certified,H-1B,INDIA,CHARLOTTE,President,TABNER INC,43.0,NORTH CAROLINA,Master's,CLEVELAND STATE UNIVERSITY,ELECTRICAL ENGINEERING,NEW YORK,3,"Software Developers, Applications",91000.0
4083,Law Office of Dana Michael Ritter,Certified,H-1B,INDIA,NAPERVILLE,CEO,FRONTIER TECHNOLOGIES LLC,148.0,ILLINOIS,Master's,ILLINOIS INSTITUTE OF TECHNOLOGY,CONSTRUCTION ENGINEERING MANAGEMENT,ILLINOIS,3,Computer Systems Analysts,75400.0
4084,Bradley & Riley PC,Certified,H-1B,INDIA,UNIONDALE,HR Compensation Analyst II,HIBU INC.,5404.0,NEW YORK,Bachelor's,KALYANI GOVERNMENT ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING,PENNSYLVANIA,4,"Software Developers, Applications",106288.0
4085,Berry Appleman & Leiden LLP,Certified,H-1B,CHINA,REDWOOD SHORES,Immigration Specialist,"ORACLE AMERICA, INC.",115000.0,CALIFORNIA,Master's,UNIVERSITY OF TEXAS AT AUSTIN,ELECTRICAL AND COMPUTER ENGINEERING,TEXAS,2,"Electronics Engineers, Except Computer",102000.0
4086,Jackson Lewis P.C.,Certified,H-1B,SPAIN,DALLAS,HR Director,DAL-TILE CORPORATION,3814.0,TEXAS,Other,NONE,ELECTRONIC ENGINEERING TECHNOLOGY,TEXAS,4,Electrical and Electronics Engineering Technicians,97840.73
4087,"Law Offices of Kyung Hee Lee, PC",Certified,H-1B,SOUTH KOREA,CARSON,Manager,"CARGOZONE, INC.",16.0,CALIFORNIA,Bachelor's,ARIZONA STATE UNIVERSITY,SUPPLY CHAIN MANAGEMENT,TEXAS,1,Logisticians,53123.0
4088,International Legal and Business Services Group LLP,Certified,H-1B,INDIA,BELLEVUE,Principal,OSLO SOLUTIONS LLC,85.0,WASHINGTON,Master's,SOUTHERN METHODIST UNIVERSITY,ENGINEERING/ TELECOMMUNICATIONS,WASHINGTON,2,"Software Developers, Systems Software",91062.0
4089,"Fragomen, Del Rey, Bernsen, & Loewy, LLP",Certified,H-1B,INDIA,TEMPE,Human Resources Manager,"FIRST SOLAR ELECTRIC, LLC",5500.0,ARIZONA,Master's,"UNIVERSITY OF NEVADA, LAS VEGAS",MECHANICAL ENGINEERING,CALIFORNIA,4,Electrical Engineers,114000.0
